MysteryData	Type	Value
Common	Chip	Attack+1
Common	Chip	OffDoff
Common	Chip	Barrier
Common	Chip	RiseNShine
Common	Chip	Repair
Common	Chip	Redecorator
Common	Chip	ChaosSwap
Common	Chip	AestheticShuffle
Common	Chip	Catapult
Common	Chip	EleMentalist
Common	Chip	Highlighter
Common	Chip	Thunder
Common	Chip	IronShell
Common	Chip	WhiteWeb
Common	Chip	BronzeFist
Common	Chip	PowerCycle
Common	Chip	CleanUp
Common	Chip	GravityField
Common	Chip	ThirdEye
Common	Chip	MonkeyPole
Common	Chip	WaterSeed
Common	Chip	LavaBall
Common	Chip	WebSurfer
Common	Chip	AquaWhirl
Common	Chip	Thunder
Common	Chip	CopyStrike
Common	Chip	MysticMist
Common	Chip	LeafWave
Common	Chip	FlashBang
Common	Chip	Nullifier
Common	Chip	Catcher
Common	Chip	WhiteLily
Common	Chip	LightningRod
Common	Chip	HeroSword
Common	Chip	SwordsDance
Common	Chip	MagBomb
Common	Chip	MetalBlade
Common	Chip	YokuTrail
Common	Chip	AlchemistTrick
Common	Chip	Crowdsource
Common	Chip	IceSkates
Common	Chip	IceSeed
Common	Chip	LavaSeed
Common	Chip	SandSeed
Common	Chip	WaterSeed
Common	Chip	9Rush
Common	Chip	ElChain
Common	Chip	Insert
Common	Chip	RockCube
Common	Chip	Repair
Common	Chip	CopyStrike
Common	Chip	EMPunch
Common	Chip	LastOut
Common	Chip	MudBall
Common	Chip	QuickRound
Common	Chip	LaserRazor
Common	Chip	Yo-Yo
Common	Chip	RewindDash
Common	Chip	Recharger
Common	Chip	PressurePoint
Common	Chip	PhantomGrasp
Common	Chip	ScatterShot
Common	Chip	Geyser
Common	Chip	ColdPunch
Common	Chip	AirSpin
Common	Chip	BalanceStaff
Common	Chip	Catcher
Common	Chip	StickyStick
Common	Chip	PowerCapsule
Common	Chip	PhantomGrasp
Common	Chip	Wind
Common	Chip	IceSlasher
Common	NCP	ZennyMiner
Common	NCP	Ventrillo
Common	NCP	SearchOptimized
Common	NCP	Collect
Common	NCP	SignPost
Common	NCP	ThemeSong
Common	NCP	BlitzBuster
Common	NCP	DuelOS
Common	NCP	SafeMode
Common	NCP	ChargeBomb
Common	NCP	HumorTalk
Common	NCP	ProgRadar
Common	NCP	MegaFlex
Common	NCP	HazardTimer
Common	NCP	ContentAware
Common	NCP	Dullahan
Common	NCP	Brand
Common	NCP	AdminHeadphones
Common	NCP	Servant
Common	NCP	BaRecycle
Common	NCP	GeoTracker
Common	NCP	Underflow
Common	NCP	ZennyMiner
Common	NCP	Harmonizer
Common	NCP	EncryptedChat
Common	NCP	PocketBase
Common	NCP	ActionReplay
Common	NCP	Matchmaker
Common	NCP	RideOn
Common	NCP	Retribution
Common	NCP	JackOfHearts
Common	NCP	Pettaur
Common	NCP	NowRecording
Common	NCP	SmartCookie
Common	NCP	ColorBuster
Common	NCP	Give&Take
		
Uncommon	Chip	PaladinLance
Uncommon	Chip	Geddon1
Uncommon	Chip	ChainRod
Uncommon	Chip	TripleRod
Uncommon	Chip	KnightSword
Uncommon	Chip	StepCross
Uncommon	Chip	StepSword
Uncommon	Chip	PaladinSword
Uncommon	Chip	HeroSword
Uncommon	Chip	Prism
Uncommon	Chip	ChargeCannon
Uncommon	Chip	CrashLink
Uncommon	Chip	TankMissiles
Uncommon	Chip	WhiteLily
Uncommon	Chip	LeafWave
Uncommon	Chip	WaterStage
Uncommon	Chip	BurnSquare
Uncommon	Chip	SandStage
