Command	Alias	Type	Hidden?	Ruling?	Response
roll	r	Rollers	FALSE		Rolls a number of X-sided dice, including success/fail thresholds or additional hits.
repeatroll	rr, repeatr	Rollers	FALSE		Repeats a roll X times. Uses the same dice algebra as `{cp}roll`.
rulebook		Lookups	FALSE		Pulls up links for the NetBattlers rulebooks.
repo	pmr, pmc, playermade	Lookups	FALSE		This command can pull up and search for player-made content on the official Notion Player-Made Repository. Type `{cp}repo` to learn more!
					
stats	skills, stat, skill	Reminders (Base)	FALSE		All characters, ranging from Navis to Viruses, have **three stats** and **nine skills**, with each stat having three related skills.\n> **Mind:** Sense, Info, Coding\n> **Body:** Strength, Speed, Stamina\n> **Soul:** Charm, Bravery, Affinity\nWhen rolling skills, the player adds the skill and the related stat, then rolls that many dice. For more information on each skill, try using `{cp}help!` (i.e. `{cp}help speed`)\n\nSkills cannot be reduced below 0. Stats cannot be reduced below 1.\n**NetOps:** Skills cannot exceed 5. Stats cannot exceed 3.\n**Navis:** Skills cannot exceed 5. Stats cannot exceed 4.
sense		Reminders (Base)	TRUE		Study your surroundings, find jack-in ports, and take aim!
info		Reminders (Base)	TRUE		Possess knowledge and expertly wield Battle Chips!
coding		Reminders (Base)	TRUE		Program, hack, and rewire things in both the real and digital worlds!
strength		Reminders (Base)	TRUE		Lift, throw, and punch objects and people!
speed		Reminders (Base)	TRUE		Run, jump, and roll places, or out of danger!
stamina		Reminders (Base)	TRUE		Endure pain and danger!
charm		Reminders (Base)	TRUE		Sweet-talk, feign innocence, and gain allies!
bravery		Reminders (Base)	TRUE		Resist fear, intimidate enemies, and inspire your allies!
affinity		Reminders (Base)	TRUE		Manipulate your Navi element, and sync your NetOp and Navi!
navicust	navicustprograms, navicustprogram, ncps	Reminders (Base)	TRUE	ncpruling	
ncp		Lookups	FALSE	ncpruling	This command can display NCPs.
growingup	growup, levelup, levelingup	Reminders (Base)	FALSE		NetOps progress over the course of an adventure, __**Growing Up**__ as they learn, make mistakes, and mature. There are two versions of the Growing Up system: **Standard** and **Lite**. Talk with your group to agree on which system to use!\n\nWhenever your NetOps grow up (as described by the progression system), **choose one skill to increase by 1**. NetOp skills cannot exceed 5. \n\n**Standard:** For roleplay enthusaists! Your NetOp grows up by completing the three steps below.\n> •  Shows weakness\n> •  Learns a hard truth\n> •  Teaches someone a meaningful lesson\nAll three steps must be completed to get a skill increase, though they can happen in any order. NetOps cannot “stack” steps; treat the steps as a checklist rather than a flowchart. For more details on the steps themselves, use `{cp}help growingupex`.\n\n**Lite:** Simple and easy! Every three sessions your NetOp finishes, your NetOp grows up. Explain what your NetOp learned.\n\n**Independent Navis** also use the Growing Up system, except instead of earning a skill point, they get +2 EB.
growingupex	growingupextra, growupex, growupextra	Reminders (Base)	FALSE		**Shows weakness:** Falling for the bad guy's lie, acting selfishly when your friends need you, or giving up when the going gets tough... Showing weakness and failing to be a hero should create a meaningful complication with lasting consequences. The reason why should be reflective of a flaw in the character. \n\n**Learns a hard truth:** Learning a hard truth means turning your big mistake into character growth with someone's help. Hard truths are lessons like “Sometimes you need to rely on other people”, “There’s always someone better than you at something”, “You don’t need to put others down to feel good about yourself” - the kinds of lessons that people need to live to learn. \n\n**Teaches someone a meaningful lesson:** To grow up, you need to help someone else in need as well. The lesson you teach someone doesn’t need to be the one you just learned, but it should be something difficult: Maybe a heart-to-heart talk about the time you thought you didn’t need anyone else, or just telling them just how much they hurt people with their recklessness. By teaching someone a meaningful lesson, you’re not just helping them; you’re also showing your own maturity and the progress you’ve made if you’ve experienced that struggle too.\n\n
bond	bondpower, bondpowers	Lookups	FALSE	bondruling	This command displays Bond Powers, along with points needed, and what they do! (Use `{cp}bond all` to see all of them!)
bondpoint	bondpoints	Reminders (Base)	TRUE	bondruling	
