MysteryData	Type	Value
Common	Zenny	100
Common	Chip	EMPunch
Common	Chip	AirShot
Common	Chip	IceSkates
Common	Chip	MagBomb
Common	Chip	Mudball
Common	Chip	PowerCycle
Common	Chip	RiseNShine
Common	Chip	WebSurfer
Common	Chip	MetalStage
Common	Chip	PhantomGrasp
Common	Chip	Barrier
Common	Chip	Repair
Common	Chip	RewindDash
Common	Chip	RockCube
Common	Chip	SandSeed
Common	Chip	SandStage
Common	Chip	WaterSeed
Common	Chip	YokuTrail
Common	Chip	WaterStage
Common	Chip	SkullBarrier
Common	Chip	AirSpin
Common	Chip	PowerSlide
Common	Chip	LightWave
Common	Chip	PaladinSword
Common	Chip	AquaWhirl
Common	Chip	BalanceStaff
Common	Chip	BubbleParasol
Common	Chip	ConcreteShot
Common	Chip	IceSlasher
Common	Chip	StickyStick
Common	Chip	IceSeed
Common	Chip	GutStraight
Common	Chip	PercussiveFix
Common	Chip	DimensionalGate
Common	Chip	RocketTackle
Common	Chip	Insert
Common	NCP	BaRecycle
Common	NCP	Brand
Common	NCP	ContentAware
Common	NCP	Dullahan
Common	NCP	EvilMind
Common	NCP	GeoTracker
Common	NCP	ManualInput
Common	NCP	Harmonizer
Common	NCP	HazardTimer
Common	NCP	MegaFlex
Common	NCP	Megaphone
Common	NCP	NowRecording
Common	NCP	ProgBody
Common	NCP	ProgRadar
Common	NCP	SignPost
Common	NCP	ThemeSong
Common	NCP	Underflow
Common	NCP	ZennyMiner
Common	NCP	BaRecycle
Common	NCP	Brand
Common	NCP	ContentAware
Common	NCP	Dullahan
Common	NCP	EvilMind
Common	NCP	GeoTracker
Common	NCP	ManualInput
Common	NCP	Harmonizer
Common	NCP	HazardTimer
Common	NCP	MegaFlex
Common	NCP	Megaphone
Common	NCP	NowRecording
Common	NCP	ProgBody
Common	NCP	ProgRadar
Common	NCP	SignPost
Common	NCP	ThemeSong
Common	NCP	Underflow
Common	NCP	ZennyMiner
Common	Misc Table	The Navi finds a note someone left here a long time ago.
Common	Misc Table	The Navi finds a small piece of media (e.g. a video game, an ebook, a movie).
Common	Misc Table	The Navi gets a program that can make one simple household item (e.g. furniature, appliances).
Common	Misc Table	The Navi finds a program that can make one small toy (e.g. RC car, wind-up soldier).
Common	Misc Table	The Navi gets a map of the surrounding area with notable parts missing.
Common	Misc Table	The Navi finds a vague warning of threats to come.
		
Uncommon	Zenny	250
Uncommon	Chip	LastOut
Uncommon	Chip	Highlighter
Uncommon	Chip	CrystalBlade
Uncommon	Chip	MetalBlade
Uncommon	Chip	RadicalGrind
Uncommon	Chip	RecoilRod
Uncommon	Chip	SlashClaw
Uncommon	Chip	SnakeBite
Uncommon	Chip	FinalBlow
Uncommon	Chip	AirBomb
Uncommon	Chip	AscensionSlash
Uncommon	Chip	HeroSword
Uncommon	Chip	CrackShot
Uncommon	Chip	RedWave
Uncommon	Chip	RollFlash
Uncommon	Chip	ChainRod
Uncommon	Chip	LaserRazor
Uncommon	Chip	StepSword
Uncommon	Chip	Totem
Uncommon	Chip	TurboTire
Uncommon	Chip	ColdPunch
Uncommon	Chip	FlameArm
Uncommon	Chip	AirSword
Uncommon	Chip	DataDaggers
Uncommon	Chip	Geyser
Uncommon	Chip	KnightSword
Uncommon	Chip	BlackWing
Uncommon	Chip	MagSeed
Uncommon	Chip	BlizzardBall
Uncommon	Chip	TopSpin
Uncommon	Chip	LavaSeed
Uncommon	Chip	ChromaSword
Uncommon	Chip	TripleRod
Uncommon	Chip	AirStrike
Uncommon	Chip	PowerCapsule
Uncommon	Chip	Geddon1
Uncommon	NCP	Sense+1
Uncommon	NCP	Info+1
Uncommon	NCP	Coding+1
Uncommon	NCP	Strength+1
Uncommon	NCP	Stamina+1
Uncommon	NCP	Speed+1
Uncommon	NCP	Charm+1
Uncommon	NCP	Bravery+1
Uncommon	NCP	Affinity+1
Uncommon	NCP	Back2Back
Uncommon	NCP	BarrelProcessor
Uncommon	NCP	BladeRun
