---Common MysteryData Chips---

900	[2d6] * 100 Zenny	Common	
1	DataDaggers	Common	Battle Chip	
2	IceSkates	Common	Battle Chip	
3	Attack+1	Common	Battle Chip	
4	Cannon	Common	Battle Chip	
5	Sword	Common	Battle Chip	
6	HeatShot	Common	Battle Chip	
7	SandSeed	Common	Battle Chip	
8	SandStage	Common	Battle Chip	
9	WaterSeed	Common	Battle Chip	
10	WoolSeed	Common	Battle Chip	
11	Bubbler	Common	Battle Chip	
12	RockCube	Common	Battle Chip	
13	BalanceStaff	Common	Battle Chip	
14	BubbleParasol	Common	Battle Chip	
15	AirShot	Common	Battle Chip	
16	Barrier	Common	Battle Chip	
17	FireHit	Common	Battle Chip	
18	GutPunch	Common	Battle Chip	
19	AquaWhirl	Common	Battle Chip	
20	RewindDash	Common	Battle Chip	
21	Vault	Common	Battle Chip	
22	YokuTrail	Common	Battle Chip	
23	StickyStick	Common	Battle Chip	
24	DashAttack	Common	Battle Chip	
25	ConcreteShot	Common	Battle Chip	
26	CornShot	Common	Battle Chip	
27	IceSlasher	Common	Battle Chip	
28	Repair	Common	Battle Chip	
29	MapView	Common	Battle Chip	
30	IceCube	Common	Battle Chip	
31	ShotGun	Common	Battle Chip	
32	HomingTorpedo	Common	Battle Chip	
33	Barrier	Common	Battle Chip	
34	DimensionalGate	Common	Battle Chip	
35	Rope	Common	Battle Chip	
36	Insert	Common	Battle Chip	

---Common MysteryData NCPs---

37	BaRecycle 	Common	NCP	
38	Brand 	Common	NCP	
39	ContentAware 	Common	NCP	
40	Dullahan 	Common	NCP	
41	EvilMind 	Common	NCP	
42	GeoTracker 	Common	NCP	
43	GlowMode 	Common	NCP	
44	Harmonizer 	Common	NCP	
45	HazardTimer 	Common	NCP	
46	MegaFlex 	Common	NCP	
47	Megaphone 	Common	NCP	
48	NowRecording 	Common	NCP	
49	ProgBody 	Common	NCP	
50	ProgRadar 	Common	NCP	
51	SignPost 	Common	NCP	
52	ThemeSong 	Common	NCP	
53	Underflow 	Common	NCP	
54	ZennyMiner 	Common	NCP	
55	BaRecycle 	Common	NCP	
56	Brand 	Common	NCP	
57	ContentAware 	Common	NCP	
58	Dullahan 	Common	NCP	
59	EvilMind 	Common	NCP	
60	GeoTracker 	Common	NCP	
61	GlowMode 	Common	NCP	
62	Harmonizer 	Common	NCP	
63	HazardTimer 	Common	NCP	
64	MegaFlex 	Common	NCP	
65	Megaphone 	Common	NCP	
66	NowRecording 	Common	NCP	
67	ProgBody 	Common	NCP	
68	ProgRadar 	Common	NCP	
69	SignPost 	Common	NCP	
70	ThemeSong 	Common	NCP	
71	Underflow 	Common	NCP	
72	ZennyMiner 	Common	NCP	

---Common MysteryData Misc---

73	 a note someone left here a long time ago	Common	-	
74	 a small piece of media (e.g. a video game, an ebook, a movie)	Common	-	
75	 a program that can make one simple household item (e.g. furniature, appliances)	Common	-	
76	 a program that can make one small toy (e.g. RC car, wind-up soldier)	Common	-	
77	 a map of the surrounding area with notable parts missing	Common	-	
78	 a vague warning of threats to come	Common	-	

---Uncommon MysteryData Chips---

