Power/NCP	Skill	Type	Effect	EB	Sort	From?
ColorBuster	-	-	Your attacks leave a splatter of vivid colors on impact. They are difficult to remove.	1	NCP	Genso Network
Give&Take	-	-	You may occupy the same space as an ally, as if both of you were non-solid.	1	NCP	Genso Network
SafeMode	-	-	When connection between PET, Navi, and/or NetOp are separated, the Navi may keep one BattleChip to use.	1	NCP	Genso Network
SmartCookie	-	-	Spend a couple seconds to create a small sandwich, dessert, snack, or some other unspecified finger food in your hand.	1	NCP	Genso Network
BlitzBuster	-	-	Can turn a non-multihit Shot chip into a 1x(X+1) multihit chip. X = chip damage (min 2).	2	NCP	Genso Network
ChargeBomb	-	-	When using a Thrown chip, roll Strength to throw at Far. A partial success will make the chip have the Slow tag.	2	NCP	Genso Network
ChipLance	-	-	Sacrifice -1 damage of a Blade/Impact chip to make defenses against it upshifted.	2	NCP	Genso Network
CrimsonNoise	-	-	Downloading chips from enemies may instead use the tables below for random chips. (May use MysteryData tables instead)	2	NCP	Genso Network
DuelOS	-	-	When an enemy attempts to parry your attacks, you can take half their damage (rounded up) to ignore it, dealing full damage to them.	2	NCP	Genso Network
HumorTalk	-	-	Once per jack-in, on failing a social roll, can make a joke/pun for a full success. Result depends on GM reaction and ruling.	2	NCP	Genso Network
AddButton	-	-	Sacrifice 1 unused chip to list 6 chips you own not currently in your Folder. Roll a 1d6 to select one; it activates, even if circumstances forbid it.	3	NCP	Genso Network
AngerMind	-	-	When desired, you may upshift your next defense roll. If you take damage, add that amount of dice to your next rolled attack.	3	NCP	Genso Network
BlastCannon	-	-	Before an attack roll, you may add +3 dice. Reduce the used skill by 1 after the attack.	3	NCP	Genso Network
ChipCharge	-	-	Sacrifice 1 unused chip to add +1 damage to another damaging chip you can use. For multi-hit chips, adds another hit to it instead.	3	NCP	Genso Network
ElemReuse	-	-	When an ally downshifts your roll, you may spend 1 Affinity to summon their element around you.	3	NCP	Genso Network
OpenPort	-	-	For any damaging chip, reduce your HP by 4-X (X = chip damage) to guarantee the secondary effect on a single target.	3	NCP	Genso Network
SpeedRunner	-	-	When enemies are not engaged with you or your allies, you can focus more on moving. Speed rolls gain a free extra three dice.	3	NCP	Genso Network
ElemPeace	-	-	Your Navi has an additional element. Roll one less die to summon/manipulate it. Standard Element selection rules apply.	4	NCP	Genso Network
Grimoire	-	-	You can spend 1 skill point to gain a Navi power of the relevant skill. Can only hold one extra gained power at a time.	4	NCP	Genso Network
MyGarden	-	-	Before jack-in, pick a specific type of terrain, with GM discretion. While you are Close to this terrain, all of your rolls are downshifted.	4	NCP	Genso Network
RunSoul	-	-	On jack-in, pick one skill from Soul. You may roll Speed as a replacement for rolls using that skill, with one less die.	4	NCP	Genso Network
FanClub	-	-	4 times per jack-in, summon a goon Near you that uses a starter BattleChip of your choice.	5	NCP	Genso Network
HardObject	-	-	Summoned allies/objects/Viruses spawn with a free Guard, protecting against one attack.	5	NCP	Genso Network
DamageGhost	-	-	When you take damage, you are given a Guard that absorbs a single hit.	6	NCP	Genso Network
AcidBody	-	Minus	All healing from any source is halved (except for Regenerate), rounded down. Regenerate lasts for 3 rolls/chips instead of 5.	+2	MinusCust	Genso Network
JunkBuster	-	Minus	All rolled attacks have -1 die.	+2	MinusCust	Genso Network
Unshuffle	-	Minus	BattleChips must be used alphabetically, from A to Z.	+2	MinusCust	Genso Network
CustomPain	-	Minus	On chip use, take 1 damage. Takes place before chip effects. Not capable of deleting.	+3	MinusCust	Genso Network
LostCustom	-	Minus	Maximum Folder size reduced by 2. Cannot be used with Custom+3.	+3	MinusCust	Genso Network
Slippery	-	Minus	Navi has trouble landing hits. All rolled attacks deal -1 damage. All chips used gain the Awkward tag as you slide around.	+4	MinusCust	Genso Network
MeltSelf	-	Minus	Every time you take damage, you take 1 extra point of damage.	+4	MinusCust	Genso Network
ElemFatigue	-	Minus	Your element is draining to you. Being Close to it upshifts all of your rolls. Taking damage will make it leak out.	+5	MinusCust	Genso Network
LostLight	-	Minus	Navi has trouble perceiving the area. Can only attack at Close, no matter what. Further-ranged chips and powers must be used in Close range.	+5	MinusCust	Genso Network
NoGuard	-	Minus	Your Navi’s chassis is fragile. All defense rolls are upshifted. Guard effects fizzle away on you.	+6	MinusCust	Genso Network
UsedPain	-	Minus	Powers become painful. When using a Roll power, roll twice and take the lowest value. For Cost powers, this applies to your next roll.	+6	MinusCust	Genso Network
DarkMind	-	Minus	No Bond Powers. All positive effects from allied chips, NCPs, elements, or powers fail on you.	+7	MinusCust	Genso Network
LostArea	-	Minus	On rolling partial success/failure or using a chip, a medium Hazard spawns atop you, consuming any of your element present. Only affects you.	+7	MinusCust	Genso Network
DeadBody	-	Minus	Max. HP is 1, and HP cannot go above 1, no matter what. Low HP benefits do not activate.	+10	MinusCust	Genso Network
NebulaHole	-	Minus	You can feel yourself slipping away. Whenever you roll, spend a skill point in the rolled skill. Whenever you use a chip, sacrifice another chip.	+10	MinusCust	Genso Network
						
NotDifficult	-	Passive	Sense attacks are Piercing and ignore Guards.	-	Virus Power	Genso Network
Reinforced	-	Passive	Immunity to stun or interrupting effects. Attacks always go off.	-	Virus Power	Genso Network
TrapCard	-	Passive	On taking damage, you may immediately counterattack a target.	-	Virus Power	Genso Network
