Power/NCP	Skill	Type	Effect	EB	Sort	From?

LockOn	Sense	Cost	Your next attack is guaranteed Easy and ignores temporary skill reductions.	-	Power	Core
Volley	Sense	Cost	Roll the next attack three times and take the best outcome.	-	Power	Core
BlindMode	Sense	Roll	Find a target with extrasensory means (e.g. thermal imaging, echolocation).	-	Power	Core
Splash	Sense	Roll	Roll once to attack a Near target. Damages everything Close to the target.	-	Power	Core
Tracker	Sense	Roll	Find and identify hidden trails and footprints.	-	Power	Core
Reconfig	Info	Cost	Switch out unused chips in your Folder for ones in your pack.	-	Power	Core
Refresh	Info	Cost	Pick a used BattleChip in your Folder. It is now usable again - once per chip.	-	Power	Core
Analyze	Info	Roll	Learn 1 per hit: the target’s stats+skills, Folder, Powers, NCPs, and element.	-	Power	Core
Foresight	Info	Roll	You can dodge an attack with Info if you’ve seen this enemy use it before.	-	Power	Core
MemoryScan	Info	Roll	Scan a Close Virus/object to reveal the target’s recent memories/interactions.	-	Power	Core
HotSwap	Coding	Cost	Change your NaviCust setup without jacking out.	-	Power	Core
MapEdit	Coding	Cost	Generate a Near simple structure that is either hard, large, or hidden.	-	Power	Core
Disruption	Coding	Roll	Pick a Near target; disables their last used power/NCP until they roll 3 times.	-	Power	Core
Firewall	Coding	Roll	Put a temporary door on a Near entrance that blocks known enemies.	-	Power	Core
NoClip	Coding	Roll	Pass through a thin structure (walls, floors, pipes, etc).	-	Power	Core
						
BreakCharge	Strength	Cost	Your next attack roll ignores Guards and upshifts the target’s next 4 Body rolls.	-	Power	Core
Followthrough	Strength	Cost	Your next melee or Strength roll hits any number of targets in range.	-	Power	Core
Gutsy	Strength	Roll	Launch a Close target one range band in any direction.	-	Power	Core
Shatter	Strength	Roll	Destroy a Close structure or piece of terrain.	-	Power	Core
Shockwave	Strength	Roll	Make a ranged attack on a grounded Near target.	-	Power	Core
Afterimages	Speed	Cost	Roll your next 3 defense rolls twice, using the better result.	-	Power	Core
Warp	Speed	Cost	Instantly move up to one range band.	-	Power	Core
FlowState	Speed	Roll	Reshape your body to fit in tight or oddly-shaped spaces. (Not a disguise.)	-	Power	Core
JumpJets	Speed	Roll	Launch a range band in any direction off of a surface.	-	Power	Core
Sneakrun	Speed	Roll	Slip past an inanimate threat (e.g. traps, sensors).	-	Power	Core
Clear	Stamina	Cost	Clear negative effects and stat/skill reductions from hazards and enemy attacks.	-	Power	Core
Regenerate	Stamina	Cost	The next 5 times you roll or use a BattleChip, heal 1 HP. (Damage comes first.)	-	Power	Core
ArmorChange	Stamina	Roll	Your body is briefly (pick 1) superhot; icy; superheavy; camouflaged; or luminous.	-	Power	Core
GravArmor	Stamina	Roll	Move along or stick to any Close surface, or stick any Close object to you.	-	Power	Core
Reflect	Stamina	Roll	Parry a ranged attack, rolling Stamina. Reflects secondary effects.	-	Power	Core
						
ModelEdit	Charm	Cost	Look like a Virus or Navi you’ve met (appearance only).	-	Power	Core
Overwrite	Charm	Cost	Trick a hostile Virus into helping you. The bigger the ask, the shorter it lasts.	-	Power	Core
Harmless	Charm	Roll	Avert hostile attention from yourself.	-	Power	Core
Hypnotize	Charm	Roll	Gradually lull a Close target to sleep.	-	Power	Core
Playback	Charm	Roll	Imitate someone else’s voice.	-	Power	Core
Bodyguard	Bravery	Cost	The next time an ally of your choice is attacked, you are attacked instead.	-	Power	Core
Rally	Bravery	Cost	Add two dice to someone else’s Soul roll (before they roll).	-	Power	Core
Glare	Bravery	Roll	A Close target cannot move range bands until line of sight breaks.	-	Power	Core
SystemCall	Bravery	Roll	Convince one or more Near targets to focus their hostile attention on you.	-	Power	Core
Vengeance	Bravery	Roll	Use Bravery to attack a Close target that recently attacked an ally.	-	Power	Core
CodeInjection	Affinity	Cost	Your next rolled attack covers the target with your element.	-	Power	Core
Save	Affinity	Cost	If your element is present, heal someone for 3 HP.	-	Power	Core
Alt	Affinity	Roll	Consume all of your element to create a minion with one purpose.	-	Power	Core
Control	Affinity	Roll	Make a ranged attack with your element if it is present.	-	Power	Core
Shift	Affinity	Roll	Swap places with an abundance of your element in line of sight.	-	Power	Core

Boomerang	-	Passive	Can attack up to 3 targets in one roll.	-	Virus Power	Core
HyperArmor	Stamina	Roll	Become immune to mobility impairment.	-	Virus Power	Core
Collateral	-	Passive	When you miss an attack, a structure nearby the target is destroyed.	-	Virus Power	Core
