Power/NCP	Skill	Type	Effect	EB	Sort	From?	Alias
LockOn	Sense	Cost	Your next rolled attack is guaranteed Easy and ignores your skill reductions.	-	Power	Core	Lock-On
Volley	Sense	Cost	Roll the next attack three times and take the best outcome.	-	Power	Core	
BlindMode	Sense	Roll	Find a target with extrasensory means (e.g. thermal imaging, echolocation).	-	Power	Core	
Splash	Sense	Roll	Roll once to attack a Near target. Damages everything Close to the target.	-	Power	Core	
Tracker	Sense	Roll	Find and identify hidden trails and footprints.	-	Power	Core	
Reconfig	Info	Cost	Switch out unused chips in your Folder for ones in your pack.	-	Power	Core	
Refresh	Info	Cost	Pick a used BattleChip in your Folder. It is now usable again - once per chip.	-	Power	Core	
Analyze	Info	Roll	Learn 1 per hit: the target’s stats+skills, Folder, Powers, NCPs, and element.	-	Power	Core	
Foresight	Info	Roll	You can dodge an attack with Info if you’ve seen this enemy use it before.	-	Power	Core	
MemoryScan	Info	Roll	Scan a Close Virus/object to reveal the target’s recent memories/interactions.	-	Power	Core	
HotSwap	Coding	Cost	Change your NaviCust setup without jacking out.	-	Power	Core
MapEdit	Coding	Cost	Generate a Near simple structure that is either hard, large, or hidden.	-	Power	Core	
Disruption	Coding	Roll	Pick a Near target; disables their last used power/NCP until they roll 3 times.	-	Power	Core	
Firewall	Coding	Roll	Put a temporary door on a Near entrance that blocks known enemies.	-	Power	Core	
NoClip	Coding	Roll	Pass through a thin structure (walls, floors, pipes, etc).	-	Power	Core	
							
BreakCharge	Strength	Cost	Your next attack roll ignores Guards and upshifts the target’s next 4 Body rolls.	-	Power	Core	
Followthrough	Strength	Cost	Your next melee or Strength roll hits any number of targets in range.	-	Power	Core	
Gutsy	Strength	Roll	Launch a Close target one range band in any direction.	-	Power	Core	
Shatter	Strength	Roll	Destroy a Close structure or piece of terrain.	-	Power	Core	
Shockwave	Strength	Roll	Make a ranged attack on a grounded Near target.	-	Power	Core	
