Chip	Dmg	Range	Effect	Category	Tags	Tags In Brackets	Single Description	From?	License	Alias
AirSword	2	Close	A galeforce sword! Pushes the target back a range band.	Blade			A galeforce sword! Pushes the target back a range band.	Core		
AscensionSlash	2	Close	A slash that rises into the air. Deals +2 damage if your target is airborne.	Blade			A slash that rises into the air. Deals +2 damage if your target is airborne.	Core		
ChainRod	3	Close	Bladed whip! Can instead be used to get Close to a Near target & downshift your next attack.	Blade	Awkward	 [Awkward]	Bladed whip! Can instead be used to get Close to a Near target & downshift your next attack. [Awkward]	Core		
ChromaSword	3	Close	A color-shifting sword! Spreads lots of (pick 1): fire, water, electric sparks, sprawling vines.	Blade	Dangerous	 [Dangerous]	A color-shifting sword! Spreads lots of (pick 1): fire, water, electric sparks, sprawling vines. [Dangerous]	Core		
CrystalBlade	2	Close	A gleaming crystal blade. Can instead be used to reveal & stun Near invisible targets.	Blade			A gleaming crystal blade. Can instead be used to reveal & stun Near invisible targets.	Core	C-License	
CustSword	X	Close	A bright green sword powered by your Folder. X=# of used chips in your Folder; max 4.	Blade			A bright green sword powered by your Folder. X=# of used chips in your Folder; max 4.	Core		
DataDaggers	2	Close	Pick 1: is Near; set target’s Coding to 0 for 3 rolls; +3 dice on next Virus data download.	Blade			Pick 1: is Near; set target’s Coding to 0 for 3 rolls; +3 dice on next Virus data download.	Core		DataDagger
DoubleEdge	4	Close	A wild all-out slash! If the target is not deleted by this attack, spend 4 HP.	Blade			A wild all-out slash! If the target is not deleted by this attack, spend 4 HP.	Core		
HeroSword	2	Close	Spend 1 Bravery to upshift the defense roll against this attack.	Blade			Spend 1 Bravery to upshift the defense roll against this attack.	Core		
ICEPick	2	Close	Can instead be used to control inanimate software (e.g. control panels) for a few moments.	Blade			Can instead be used to control inanimate software (e.g. control panels) for a few moments.	Core		
IceSkates	1	Close	A frosty kick upshifts target’s next Body roll! Also, you can now freely glide over ice.	Blade			A frosty kick upshifts target’s next Body roll! Also, you can now freely glide over ice.	Core		
Katana	2x2	Close	Double-slice! If you win a parry with this, the target cannot use chips until they roll 3 times.	Blade	Awkward	 [Awkward]	Double-slice! If you win a parry with this, the target cannot use chips until they roll 3 times. [Awkward]	Core		
KnightSword	2	Close	Deals double damage if this chip wins a parry.	Blade			Deals double damage if this chip wins a parry.	Core		
LaserRazor	3	Close	A glowing razor made of raw energy. It can gradually burn through any material.	Blade	Dangerous, Slow	 [Dangerous, Slow]	A glowing razor made of raw energy. It can gradually burn through any material. [Dangerous, Slow]	Core	S-License	LazerRazor, LazerRazer
LightningFoil	1	Close	An electric disarming swipe removes the first alphabetic BattleChip in the target’s Folder.	Blade	Accurate	 [Accurate]	An electric disarming swipe removes the first alphabetic BattleChip in the target’s Folder. [Accurate]	Core		
LightWave	2	Near	Fires a glowing shockwave from a blade that bypasses Guards.	Blade			Fires a glowing shockwave from a blade that bypasses Guards.	Core		
MirrorSword	2	Close	A shining silver sword. Can instead be used to parry a projectile attack.	Blade			A shining silver sword. Can instead be used to parry a projectile attack.	Core	A-License	
PaladinSword	2	Close	Can instead be used to defend a Close ally, reducing the damage to them by 2.	Blade			Can instead be used to defend a Close ally, reducing the damage to them by 2.	Core		
RecoilRod	2	Close	Bladed tonfas! Spend 1 Speed to also push the target or yourself away a range band.	Blade			Bladed tonfas! Spend 1 Speed to also push the target or yourself away a range band.	Core		
SlashClaw	2	Close	Slice the target’s data into raw energy. Gain 1 Charge for each point of damage this deals.	Blade			Slice the target’s data into raw energy. Gain 1 Charge for each point of damage this deals.	Core		
