HEADER	Module Name	Method Name	Command Type	Command Tier	Description
refreshcommands	main	refresh_commands	prefix	3	
shutdown	superadmin_commands	shutdown	prefix	3	
sendmessage	superadmin_commands	send_message	prefix	3	
changename	superadmin_commands	change_name	prefix	3	
changestatus	superadmin_commands	change_status	prefix	3	
refreshsettings	superadmin_commands	refresh_settings	prefix	3	
refreshappcommands	superadmin_commands	refresh_app_commands	prefix	3	
admin	superadmin_commands	add_admin	prefix	3	
unadmin	superadmin_commands	remove_admin	prefix	3	
purge	superadmin_commands	purge	prefix	3	
updatesetting	admin_commands	update_setting	prefix	2	
addsetting	admin_commands	add_setting	prefix	2	
removesetting	admin_commands	remove_setting	prefix	2	
restrict	admin_commands	restrict_user	prefix	2	
unrestrict	admin_commands	unrestrict_user	prefix	2	
addresponse	admin_commands	add_response	prefix	2	
removeresponse	admin_commands	remove_response	prefix	2	
changenickname	admin_commands	change_nickname	prefix	2	
addrequestableroles	admin_commands	add_requestable_roles	prefix	2	
removerequestableroles	admin_commands	remove_requestable_roles	prefix	2	
oops	user_commands	oops	prefix	1	
commands	user_commands	list_commands	prefix	1	
help	user_commands	help	prefix	1	
userinfo	user_commands	user_info	prefix	1	
roll	user_commands	roll	prefix	1	
requestroles	user_commands	request_roles	prefix	1		
ping	user_commands	ping	slash	1	ping!
\o\	user_commands	custom_response	match	1	
/o/	user_commands	custom_response	match	1	
