Command	Alias	Type	Hidden?	Ruling?	Response
roll	r	Rollers	FALSE	rollhelp	__**Rolls**__ a number of X-sided dice, including success/fail thresholds or additional hits.
repeatroll	rr, repeatr	Rollers	FALSE	rollhelp	__**Repeats a roll**__ a number of times. Otherwise, uses the same dice algebra as `roll`.
rulebook		Lookups	FALSE		Pulls up links for the NetBattlers __**rulebooks**__.
sheet		Helpers	FALSE		Pulls up a link to the NetBattlers blank __**character sheet**__.
					
difficulties	rolldifficulty, difficulty, upshift, upshifting, downshift, downshifting, easy, normal, hard, success, failure, mixedsuccess, partialsuccess, full, fail, failedroll, mixed, partial, crit, criticalsuccess, critsuccess	Reminders (Base)	FALSE		When characters try to overcome a challenge with an uncertain outcome, they __**roll**__ dice to see what happens. There are three levels of difficulty:\n- **Easy:** Dice that read **4, 5, 6** are hits. Failure is easy to avoid.\n- **Normal:** **5, 6** are hits. Success is not a guarantee.\n- **Hard:** Only **6** is a hit. Proficient characters may still struggle.\nRoll difficulties reflect the difficulty of the task at hand, irrespective of the character acting: for example, an Easy roll is Easy for everyone. Circumstances may make a roll harder or easier, called **upshifting** (increase difficulty) and downshifting (decrease difficulty) a roll respectively.\n**You only need to roll if it’s interesting. If it doesn’t matter, or if it’s obvious the character could clear the obstacle, don’t bother rolling.**\n\nTo roll, the player adds their skill and the related stat, then rolls that many dice. They then count the number of hits to see how well they did:\n- **0 Hits - Failure:** Something bad happens. This could mean the character fails to achieve their goal, or they accomplish it at a high cost, like a dangerous outcome that affects their allies too.\n- **1 Hit - Mixed Success:** Success with drawbacks, like new threats, lost resources, or bad luck. Expect tough choices.\n- **2 Hits - Full Success:** A success without complication.\n- **3+ Hits - Critical Success:** A stylish success with extra benefits.\n
stats	skills, stat, skill	Reminders (Base)	FALSE		All characters, ranging from Navis to Viruses, have **three stats** and **nine skills**, with each stat having three related skills.\n> **Mind:** Sense, Info, Coding\n> **Body:** Strength, Speed, Stamina\n> **Soul:** Charm, Bravery, Affinity\nWhen rolling skills, the player adds the skill and the related stat, then rolls that many dice. For more information on each skill, try using `help!` (i.e. `help speed`)\n\nWhen something lets you **roll one skill in place of another**, you roll the substitute skill with the replaced skill’s effects. It still counts as a roll for the substitute skill.\n\nSkills cannot be reduced below 0. Stats cannot be reduced below 1. You also cannot perform any action that would result in reducing a stat/skill below its minimum.\n**NetOps:** Skills cannot exceed 5. Stats cannot exceed 3.\n**Navis:** Skills cannot exceed 5. Stats cannot exceed 4.
sense		Reminders (Base)	TRUE		Study your surroundings, find jack-in ports, and take aim!
info		Reminders (Base)	TRUE		Possess knowledge and expertly wield Battle Chips!
coding		Reminders (Base)	TRUE		Program, hack, and rewire things!
strength		Reminders (Base)	TRUE		Lift, throw, and punch objects and people!
speed		Reminders (Base)	TRUE		Run, jump, and roll!
stamina		Reminders (Base)	TRUE		Endure pain and danger!
charm		Reminders (Base)	TRUE		Sweet-talk, feign innocence, and gain allies!
bravery		Reminders (Base)	TRUE		Resist fear, intimidate enemies, and inspire your allies!
affinity		Reminders (Base)	TRUE		Manipulate your Navi element, and sync your NetOp and Navi!
pet		Reminders (Base)	TRUE		Smartphones and PDAs have evolved into **PET**s (**PE**rsonal **T**erminal), handheld devices containing personal assistants known as NetNavis.\n\nNetOps carry their Navis with them in PETs. By plugging their PETs into ports on all kinds of electronics (called **jacking in**), NetOps can transport their Navis into cyberspace. While cyberspace and the real world are separate, they can affect each other. Nearly everything has a jack-in port if you look closely.
jackin	jack-in		FALSE		Nearly everything has a jack-in port if you look closely. When a NetOp jacks their Navi into immediate danger, the NetOp rolls **Affinity** to sychronize with the Navi.\n- **On a full success**, the Navi can act immediately.\n- **On a mixed success**, the Navi's data transmits with a brief delay.\n- **On a failure**, the Navi is vulnerable to attackers with barely any time to react.
jackout	jack-out		FALSE		When the Navi returns to the PET by jacking out, under normal circumstances, it returns to full health, all temporary effects (e.g. skill reductions) are removed, and all used BattleChips are returned to a usable condition. Jacking out under pressure also requires a **NetOp Affinity** roll.\n- **On a full success**, the Navi jacks out without complications.\n- **On a mixed success**, the Navi may take longer to jack out, or they may not have their health, skills, or BattleChips immediately returned to normal.\n- **On a failure**, at least one of those complications occurs, if not more.
navicust	navicustprograms, navicustprogram, ncps	Reminders (Base)	TRUE	ncpruling	The **__Navi Customizer__ (NaviCust)** is cutting-edge tech that modifies Navis using software called Navi Customizer Programs (NCPs). The NaviCust is the primary form of Navi progression. **Check with your GM to see how many EB (Exabytes) your character starts with!**
ncp		Lookups	FALSE	ncpruling	This command can display __**NCPs**__. It can also search by EB cost and Crossover Content.
goals	growingup, growup, levelup, levelingup	Reminders (Base)	FALSE		During character creation, every player writes **3 goals** for their character. Goals are simple statements, usually just a sentence, that describe how the player wants their character's story to evolve in the near future.\n\nCompleting your goals should always have a meaningful impact on everything involved, especially your character. The best goals are about relationships, character motivations, and personal growth. If you’re not sure whether you’ve completed a goal, ask yourself if pursuing this goal has meaningfully changed your character, the setting, or the plot; if so, you can probably mark it as complete.\n\nCompleting a goal normally takes multiple sessions. As long as every individual goal has a meaningful impact on the story, players are able to progress multiple goals at once. When you complete a goal, **write a new one and choose one skill to increase by 1**.\nIf one or more player characters played a critical role in helping you complete your goal, you can pick one and **increase your shared Bond Level by 1.**\n\nFor more information and advice on writing goals, see `help goalsadvice`!
goalsex	goalsextra, goalsadvice, levelupextra, levelingupextra, growingupextra, growupex, growupextra, goaladvice	Reminders (Base)	TRUE		When players write goals for their characters, they communicate with their GM to make sure the GM can integrate those goals into the story moving forward. (If a goal directly involves another player character, players should be sure to discuss how they feel about the goal.)\n\nTry to avoid goals that are just about increasing power or overly general, or aren't about a specific character.\n\nWhen writing a goal, refer to the three questions below — the more you can answer “yes” to, the better a goal it is.\n- **Does it make the world a more interesting place?**\n- **Does it give the character depth or growth?**\n- **Does it make the story more fun for everyone?**\n\nYou can change your goals between sessions. However, players should always be sure to talk with their GM about changing goals. The GM should be using the players’ goals to influence their sessions; not telling your GM when you change your goals can make it harder for them to help your character shine. \n\nKeep in mind, goals are what you want to happen with your character - it doesn't have to be what your character wants! Character growth can come from hard times, and it can be fun to put your character in a bad spot and see how they overcome it.
bond	bondpower, bondpowers	Lookups	FALSE	bondruling	This command displays __**Bond Powers**__, along with points needed and what they do. (Use `bond all` to see all of them!)
bondpoint	bondpoints, bonds	Reminders (Base)	TRUE	bondruling	
