Tag	Alias	AltName	Description
Accurate	Accu	Accu.	Defending against this with **Speed** is upshifted. 
Awkward	Awkd	Awkd.	These chips require undivided attention to use.
Dangerous	Dngr	Dngr.	This chip tends to cause collateral damage.\n*Example: This can break objects and injure or impede those nearby, including allies. Be careful when using them to avoid more trouble.*
Guard			Only **one Guard** can passively benefit the user at a time.\nWhen a Navi has a Guard active and tries to gain a new one, **they pick which to keep**. The Guard not kept loses all its effects.
Piercing	Prcn	Prcn.	Defending against this with **Stamina** is upshifted.
Simple	Simp	Simp.	The chip’s effects happen instantly, and can be used while performing other actions.
Slow			It takes extra time for this to activate. Using it at a moment’s notice is difficult or impossible. Plan ahead!
			
Blade	BladeChip, BladeC, BladeBattleChip, BladeChips, BladeBattleChips,  Blade(C), (C)Blade, Blade(BattleChip), Blade(Chip)		Razor-sharp, hard-hitting attacks with a focus on melee weapons.\n**Navis can parry with these chips.**
Hazard	HazardChip, HazardC, HazardBattleChip, HazardChips, HazardBattleChips,  Hazard(C), (C)Hazard, Hazard(BattleChip), Hazard(Chip)		These chips alter the environment, either by creating new terrain or destroying what’s already there.
Impact	ImpactChip, ImpactC, ImpactBattleChip, ImpactChips, ImpactBattleChips,  Impact(C), (C)Impact, Impact(BattleChip), Impact(Chip)		Melee-focused chips that often carry debilitating effects or alternate uses.\n**Navis can parry with these chips.**
Rush	RushChip, RushC, RushBattleChip, RushChips, RushBattleChips,  Rush(C), (C)Rush, Rush(BattleChip), Rush(Chip)		Chips that let Navis move extra fast. **Downshift the defense roll** if used **closer than maximum range.**\n*By default, Rush chips do not let the user launch into the air. The exception is if it explicitly describes the user flying. (Synonymous terms, like “rocket,” also count.)*
Shot	ShotChip, ShotC, ShotBattleChip, ShotChips, ShotBattleChips,  Shot(C), (C)Shot, Shot(BattleChip), Shot(Chip)		Powerful projectile attacks.\nThey can be **fired beyond their listed range**, though the **defense roll is downshifted.**
Summon	SummonChip, SummonC, SummonBattleChip, SummonChips, SummonBattleChips,  Summon(C), (C)Summon, Summon(BattleChip), Summon(Chip)		These create something to assist the Navi, whether it be a tool, a specialized program, or a piece of cover.
Support (Chip)	SupportChip, SupportC, SupportBattleChip, SupportChips, SupportBattleChips,  Support(C), (C)Support, Support(BattleChip)		Support chips boost the Navi’s abilities and create debilitating effects.
Thrown	ThrownChip, ThrownC, ThrownBattleChip, ThrownChips, ThrownBattleChips,  Thrown(C), (C)Thrown, Thrown(BattleChip), Thrown(Chip)		Projectile weapons that carry situational and dangerous but devastating effects.
Wave	WaveChip, WaveC, WaveBattleChip, WaveChips, WaveBattleChips,  Wave(C), (C)Wave, Wave(BattleChip), Wave(Chip)		Broad attacks that **hit everything Close to the main target**, potentially including the user.
NaviChip	Navi, NaviChips		**NaviChips** are **MegaChips** that store attack data from Navis, containing a small fragment of their core data. Each NaviChip is unique, based off the Navi it was downloaded from.
MegaChip	Mega, MegaChips		**MegaChips** are impossibly rare, exceptionally powerful, one-of-a-kind BattleChips. Folders can only hold one MegaChip at a time.\nMegaChips **do not count as BattleChips** for the purposes of Navi Powers, NCPs, or other BattleChips, and any ongoing effects from them can’t be dispelled by such abilities.
Incident Chip	Incident, IncidentChips, IncidentChip		**Incident Chips** are MegaChips tainted with sinister power, capable of immense, showstopping repercussions. They have all of the same restrictions of normal **MegaChips.** In addition, there is only one sure-fire way to stop their effects: delete the Navi that used it. (If using DarkChips, feel free to treat Incident Chips as DarkChips.)

DarkChip	Dark, DarkChips		**DarkChips** are destructive BattleChips linked to a Daemon. Stronger than MegaChips, they cause devastating damage, manipulate servers, and control minds and bodies. DarkChips have the same restrictions as **MegaChips**. Each DarkChip disappears after a single use. 
			
Artillery	ArtilleryVirus, ArtilleryV,  ArtilleryViruses, Artillery(V), Artillery(Viruses), (V)Artillery		Viruses that are ranged damage-dealers, typically using Sense or Affinity.
Disruption	DisruptionVirus, DisruptionV,  DisruptionViruses, Disruption(V), Disruption(Viruses), (V)Disruption		Viruses that hinder Navis, making them vulnerable.
Strike	StrikerVirus, StrikerV,  StrikerViruses, Striker(V), Striker(Viruses), (V)Striker		Viruses that are hardy brawlers, and deal heavy damage up close.
Support (Virus)	SupportVirus, SupportV,  SupportViruses, Support(V), Support(Viruses), (V)Support		Viruses focused on protecting and boosting other enemies.
Wrecker	WreckerVirus, WreckerV,  WreckerViruses, Wrecker(V), Wrecker(Viruses), (V)Wrecker		Viruses that create environmental obstacles and threats.
			
Hovering			Floats a bit off the ground, avoiding grounded attacks and some terrain.
Flying			Can freely fly through the air.
Inanimate			Follows simplistic programming, and can be hacked with Coding. (They still count as “living” targets.)
Immobile			Can’t move on its own. (Others may be able to move it.)
			
Support			There are both Support Chips and Support Viruses! Please specify the one you mean!
			
Instant	InstantPower		Activating this power happens instantly, though it cannot be used to interrupt others’ actions.
			
Aggressive (Fish)	Aggressive		Fail to reel it in it and it’ll attack once (with damage equal to its remaining HP) before it gets away.
Deep (Fish)	Deep		It’s hard for Navis to see this fish at all. They count as Far.
Shallow (Fish)	Shallow		Navis can get a good look at this fish as it swims.
Skittish (Fish)	Skittish		The fish is first to flee if things get noisy or violent.
